Variable,Gaza,Vietnam,Hanoi,Gaza_Vietnam,Gaza_Hanoi
Tons_of_bombs,40000,5000000,20000,,
Sq_km,365,331210,3360,0.00110201986654992,98.5744047619048
Tons_per_sq_km,109.58904109589,15.0961625554784,5.95238095238095,7.25939726027394,2.53615530932037
Timespan_(days),45.00,7300,11,0.00616438356164384,663.636363636364
Lbs_per_sq_per_day,4870.62,4.14,0,1176.47826086957,
Tons_per_day,888.888888888889,684.931506849315,1818.18181818182,1.29777777777778,0.376712328767123
Tons_per_2.5_min,1.54320987654321,1.18911719939117,3.15656565656566,1.29777777777778,0.376712328767122
Population,2100000,28263031,668000,0.0743020095756892,42.3099266467066
Population_per_sq_km,5753.42465753425,85.332662057305,198.809523809524,67.4234755933261,0.429218180408001
Tons_per_capita,0.019047619047619,0.176909546608784,0.029940119760479,0.107668689523809,5.90877885673339